,0,1,2,3,4,5
0,1645056000,3123.31,3136.23,3126.63,3125.38,37.90400867
1,1645055100,3119.69,3143.04,3142.62,3125.49,55.45954461
2,1645054200,3143.21,3152.04,3152.04,3143.29,28.1524884
3,1645053300,3148.29,3158.37,3151.02,3151.82,22.15160843
4,1645052400,3143.11,3149.26,3143.11,3146.45,12.84750656
5,1645051500,3133.6,3152.5,3152.5,3136.66,4.74998907
6,1645050600,3143.42,3151.05,3151.0,3151.05,4.34671193
7,1645049700,3135.83,3147.88,3139.67,3147.88,8.43937102
8,1645048800,3126.82,3139.78,3138.86,3138.46,5.55827759
9,1645047900,3126.88,3141.72,3141.4,3136.94,58.12529957
10,1645047000,3138.89,3151.0,3150.57,3141.65,14.67174677
11,1645046100,3150.53,3157.81,3157.01,3150.54,28.2990771
12,1645045200,3149.51,3161.38,3149.51,3155.89,28.00483917
13,1645044300,3148.5,3162.61,3162.5,3150.75,76.35275756
14,1645043400,3160.62,3169.36,3169.36,3161.0,39.06547519
15,1645042500,3164.65,3177.2,3165.01,3172.84,56.59490466
16,1645041600,3164.89,3181.44,3173.89,3165.8,299.39591064
17,1645040700,3156.32,3175.0,3162.51,3175.0,49.15199216
18,1645039800,3163.6,3188.93,3181.05,3164.14,77.85419006
19,1645038900,3130.86,3185.51,3130.86,3185.51,153.23075776
20,1645038000,3084.41,3138.97,3095.81,3132.15,160.65744985
21,1645037100,3085.53,3100.85,3085.53,3097.26,28.48303901
22,1645036200,3084.71,3100.32,3087.47,3084.71,111.30982466
23,1645035300,3078.4,3089.18,3079.62,3088.45,5.89824919
24,1645034400,3068.07,3078.56,3073.76,3078.56,13.73097586
25,1645033500,3069.66,3075.49,3074.4,3072.23,22.06821683
26,1645032600,3070.96,3083.43,3083.43,3074.74,30.03100882
27,1645031700,3078.82,3084.78,3081.8,3083.77,23.36237001
28,1645030800,3077.07,3087.66,3083.03,3080.86,18.78823172
29,1645029900,3072.23,3089.25,3072.23,3084.45,87.43332607
30,1645029000,3067.23,3074.53,3070.26,3069.46,6.25967216
31,1645028100,3045.64,3069.76,3054.45,3069.76,44.20196639
32,1645027200,3057.19,3070.58,3069.12,3058.5,30.22293862
33,1645026300,3064.22,3073.28,3071.78,3069.12,43.96552682
34,1645025400,3060.23,3075.36,3068.77,3074.42,75.70229152
35,1645024500,3062.36,3071.89,3071.88,3068.72,45.98593427
36,1645023600,3064.9,3076.73,3064.9,3071.1,57.32008747
37,1645022700,3054.35,3069.64,3068.73,3062.87,95.42892262
38,1645021800,3060.84,3077.07,3068.0,3063.95,89.81346837
39,1645020900,3053.0,3079.52,3071.81,3065.88,132.75591552
40,1645020000,3069.36,3081.92,3076.72,3071.86,55.95869388
41,1645019100,3064.0,3098.84,3093.7,3075.05,89.22698553
42,1645018200,3091.02,3123.94,3109.35,3095.2,108.96289496
43,1645017300,3110.77,3120.07,3118.97,3110.77,10.35312568
44,1645016400,3106.21,3123.42,3120.29,3119.39,29.63869083
45,1645015500,3112.58,3123.63,3117.56,3117.0,516.5160694
46,1645014600,3117.87,3138.61,3135.11,3119.2,42.3354394
47,1645013700,3127.05,3134.14,3127.05,3133.8,9.48889693
48,1645012800,3124.58,3145.6,3136.94,3124.86,18.19892396
49,1645011900,3136.68,3140.6,3138.02,3136.68,9.57174722
50,1645011000,3132.82,3141.54,3132.82,3138.77,14.68985351
51,1645010100,3131.07,3137.17,3134.35,3132.89,4.96763996
52,1645009200,3131.94,3140.87,3134.43,3135.38,22.6457459
53,1645008300,3130.71,3133.77,3133.21,3133.03,3.26334369
54,1645007400,3119.73,3129.43,3121.86,3129.43,7.85987699
55,1645006500,3114.56,3134.48,3133.61,3121.7,10.428481
56,1645005600,3127.42,3136.63,3127.42,3136.63,8.72111063
57,1645004700,3128.65,3141.82,3139.9,3128.65,20.95486651
58,1645003800,3138.37,3152.08,3150.49,3139.17,7.63180919
59,1645002900,3141.08,3150.75,3144.91,3150.75,10.38040758
60,1645002000,3136.68,3150.37,3142.81,3144.55,16.60671736
61,1645001100,3140.74,3149.74,3145.47,3140.74,6.78936356
62,1645000200,3145.53,3159.16,3156.59,3145.83,10.92526826
63,1644999300,3153.56,3164.28,3153.57,3158.49,92.25435334
64,1644998400,3151.64,3158.33,3154.68,3153.59,66.85821119
65,1644997500,3141.79,3153.83,3141.79,3153.3,22.07856773
66,1644996600,3132.02,3142.92,3132.08,3141.38,30.95877697
67,1644995700,3128.65,3137.84,3137.84,3131.5,80.81972754
68,1644994800,3137.14,3145.16,3140.79,3139.19,21.28455864
69,1644993900,3135.67,3142.8,3142.8,3139.73,15.93657596
70,1644993000,3139.49,3144.8,3140.16,3140.42,8.88924599
71,1644992100,3134.31,3149.29,3134.63,3138.0,24.6620806
72,1644991200,3127.86,3133.68,3129.49,3133.56,8.17746401
73,1644990300,3124.8,3135.07,3124.8,3131.16,14.0903185
74,1644989400,3123.95,3135.89,3135.89,3123.95,24.83935301
75,1644988500,3125.77,3135.94,3135.04,3132.81,4.47346647
76,1644987600,3123.55,3137.42,3125.0,3136.82,12.66272169
77,1644986700,3120.82,3125.98,3122.29,3125.61,9.89525206
78,1644985800,3109.56,3124.68,3109.56,3122.55,22.95536125
79,1644984900,3106.33,3133.69,3133.69,3109.31,159.6404347
80,1644984000,3131.82,3142.4,3137.96,3133.32,37.21585681
81,1644983100,3141.49,3149.82,3148.96,3141.49,15.81820549
